Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,PX_LAST
9/29/2021,163,164.66,162.78,162.81,5124102,164.02
9/28/2021,163.1,163.91,161.771,163.17,7610354,162.81
9/27/2021,164,164.36,162.85,164.36,5775461,163.17
9/24/2021,164.75,165.65,163.89,164.86,4399614,164.36
9/23/2021,164.4,165.77,164.15,163.93,4697939,164.86
9/22/2021,165.35,165.95,163.63,164.53,5657126,163.93
9/21/2021,164.61,165.98,164.24,163.81,6663566,164.53
9/20/2021,163.48,165.17,162.165,164.75,7271017,163.81
9/17/2021,164.3,164.91,163.555,165.22,13422106,164.75
9/16/2021,165.65,166.46,164.19,165.42,5665537,165.22
9/15/2021,165,165.96,164.31,164.8,7935279,165.42
9/14/2021,166.4,166.54,164.51,165.8,5259559,164.8
9/13/2021,167.92,168.12,165.13,166.97,6273506,165.8
9/10/2021,168.55,169.09,166.87,168.07,6699315,166.97
9/9/2021,171.19,171.48,167.7,171.9,7114577,168.07
9/8/2021,171.62,172.98,171.08,172.32,4661733,171.9
9/7/2021,174.35,175.03,171.67,175.04,6859871,172.32
9/3/2021,175.1,175.22,173.81,174.93,4097512,175.04
9/2/2021,174.34,175.19,173.91,173.74,4545449,174.93
9/1/2021,172.9,173.74,172.06,173.13,5327351,173.74
8/31/2021,173.49,174.49,172.48,173.66,7106790,173.13
8/30/2021,172.79,174.28,172.78,172.93,3253006,173.66
8/27/2021,174.28,174.28,172.75,173.3,7046079,172.93
8/26/2021,173.95,174.72,173.05,174.23,5031639,173.3
8/25/2021,175.69,175.9,173.892,175.39,5700289,174.23
8/24/2021,176.99,177.21,175.28,177.61,5734824,175.39
8/23/2021,178.39,178.93,177.54,179.44,6461676,177.61
8/20/2021,178.89,179.92,178.07,178.57,5428729,179.44
8/19/2021,176.62,179.3269,176.07,177.19,5615038,178.57
8/18/2021,179.5,179.5,177.13,179.47,7134094,177.19
8/17/2021,177.31,179.51,177.31,177.84,6041881,179.47
8/16/2021,176.55,177.89,175.95,176.25,4783192,177.84
8/13/2021,175.29,176.29,175.12,175.2,5882102,176.25
8/12/2021,173.82,175.29,173.59,173.8,4301392,175.2
8/11/2021,174.25,174.47,173.56,173.77,4221298,173.8
8/10/2021,173.26,174.11,172.78,173.71,3678454,173.77
8/9/2021,173.72,174.25,172.93,173.11,3950185,173.71
8/6/2021,173.94,173.94,172.45,173.69,4581065,173.11
8/5/2021,173.85,173.85,172.42,173.36,4291332,173.69
8/4/2021,174.2,174.59,173.259,174.39,4793117,173.36
8/3/2021,172.73,174.5,172.44,172.27,6032998,174.39
8/2/2021,172.47,172.84,171.3,172.2,3721473,172.27
7/30/2021,172.54,172.98,171.84,172.18,5346742,172.2
7/29/2021,172.74,173.34,171.085,172.18,4214059,172.18
7/28/2021,172.73,173.3801,172.08,172.66,5750714,172.18
7/27/2021,171.8,172.72,170.67,171.87,7089269,172.66
7/26/2021,171.82,172.14,170.8619,171.79,4485035,171.87
7/23/2021,171,172.1751,170.38,169.98,5015073,171.79
7/22/2021,169.36,171.07,168.65,169.49,5281948,169.98
7/21/2021,169.3,169.69,167.48,168.45,7585479,169.49
7/20/2021,166.9,170.81,166.84,166.88,9902815,168.45
7/19/2021,166.48,168.19,165.32,168.1,8220113,166.88
7/16/2021,168.34,169.09,167.95,168.37,5835263,168.1
7/15/2021,169.3,169.9,167.72,170.42,6656878,168.37
7/14/2021,170,170.83,169.04,169.27,6162925,170.42
7/13/2021,168.97,169.755,168.672,169.48,4691233,169.27
7/12/2021,169.73,171.18,168.54,169.75,7840452,169.48
7/9/2021,169.37,170.37,169.24,169.08,6120925,169.75
7/8/2021,168.7,169.46,167.58,169.41,5755679,169.08
7/7/2021,167.48,169.5,167.48,167.97,6293581,169.41
7/6/2021,167.91,168.86,166.99,168.98,6098526,167.97
7/2/2021,166.02,169.3,165.64,165.96,9060270,168.98
7/1/2021,164.74,166.01,164.63,164.74,6320173,165.96
6/30/2021,164,164.97,163.67,164.03,6151745,164.74
6/29/2021,164,164.64,163.41,164.02,3749744,164.03
6/28/2021,164.44,165.07,163.52,164.21,5604009,164.02
6/25/2021,162.94,164.78,162.89,163.37,10963806,164.21
6/24/2021,163.27,164.2,162.8,162.63,4549234,163.37
6/23/2021,163.69,163.69,162.48,163.62,4493351,162.63
6/22/2021,163.71,164.04,163.28,163.84,5627795,163.62
6/21/2021,162.77,164.255,162.25,161.98,6592400,163.84
6/18/2021,163.27,164.19,161.79,165.22,12993018,161.98
6/17/2021,164.19,165.7,163.5,164.43,5874962,165.22
