Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,PX_LAST
9/29/2021,43.22,43.69,43.08,43.04,18037241,43.53
9/28/2021,43.07,43.28,42.43,43.57,28512222,43.04
9/27/2021,43.92,44.13,43.51,43.94,19955901,43.57
9/24/2021,44.07,44.41,43.81,44.19,16150746,43.94
9/23/2021,44.28,44.719,44.15,43.95,19719166,44.19
9/22/2021,43.99,44.39,43.83,43.92,22616743,43.95
9/21/2021,44.25,44.73,43.85,44.2,23645594,43.92
9/20/2021,43.39,44.65,43.39,43.89,41873015,44.2
9/17/2021,44.17,44.46,43.31,44.47,56420686,43.89
9/16/2021,44.88,44.99,44.03,44.77,22424169,44.47
9/15/2021,44.56,45.365,44.47,44.71,28674628,44.77
9/14/2021,44.67,45.26,44.545,44.58,24100217,44.71
9/13/2021,45.74,45.83,44.2,45.59,37086226,44.58
9/10/2021,46.27,46.35,45.51,46.03,20801502,45.59
9/9/2021,46.47,46.7182,45.85,46.51,21695324,46.03
9/8/2021,46.51,46.79,46.25,46.75,15839626,46.51
9/7/2021,46.99,47.5,46.54,46.84,26236854,46.75
9/3/2021,46.9,47.03,46.3431,46.84,20834762,46.84
9/2/2021,46.48,46.87,46.13,46.04,26149357,46.84
9/1/2021,46.19,46.2595,45.42,46.07,32900114,46.04
8/31/2021,46.72,47.14,45.9318,46.76,34547833,46.07
8/30/2021,46.2,47.16,46.16,46.6,25774352,46.76
8/27/2021,47.37,47.5,46.53,47.38,32924523,46.6
8/26/2021,47.7,48.16,47.3,47.51,29029316,47.38
8/25/2021,48.04,48.28,46.93,48.38,51036771,47.51
8/24/2021,49.74,50.05,48.24,49.93,52624054,48.38
8/23/2021,50.29,51.36,49.6,48.72,88652378,49.93
8/20/2021,48.98,49.73,48.66,48.8,35157544,48.72
8/19/2021,48.5,49.96,48.26,49.31,57741571,48.8
8/18/2021,50.23,51.86,49.17,50.42,88597980,49.31
8/17/2021,48.78,50.49,48.71,48.91,68816994,50.42
8/16/2021,48.23,48.97,47.51,48.48,38098084,48.91
8/13/2021,47.41,48.5,47.32,47.24,35379185,48.48
8/12/2021,46.5,47.4,46.34,46.31,29710226,47.24
8/11/2021,47.78,48.08,46.26,48.19,50878190,46.31
8/10/2021,46.2,48.57,45.89,45.98,81189410,48.19
8/9/2021,45.11,46.03,45.11,45.07,32374261,45.98
8/6/2021,45.09,45.31,44.63,45.06,20413038,45.07
8/5/2021,45,45.14,44.7,45.19,23505417,45.06
8/4/2021,45.35,45.8,45.01,45.68,43391242,45.19
8/3/2021,44.17,45.86,44.07,43.96,45643262,45.68
8/2/2021,43.3,44.14,43.25,42.81,43066940,43.96
7/30/2021,42.88,43.185,42.69,42.79,24763344,42.81
7/29/2021,43.23,43.3,42.6212,43.45,29015020,42.79
7/28/2021,42.35,43.74,42.25,42.1,53822449,43.45
7/27/2021,41.82,42.2,41.58,41.81,32544072,42.1
7/26/2021,41.62,41.94,41.39,41.68,23720028,41.81
7/23/2021,41.46,41.83,41.42,41.47,21609212,41.68
7/22/2021,41.12,41.55,40.9,41.02,18913310,41.47
7/21/2021,41.24,41.24,40.515,41.05,27530234,41.02
7/20/2021,40.25,41.71,40.2,40.15,48804134,41.05
7/19/2021,40.07,40.35,39.68,40.35,29818359,40.15
7/16/2021,40.14,40.35,39.93,40.09,24270381,40.35
7/15/2021,39.95,40.19,39.86,39.95,20250796,40.09
7/14/2021,39.72,40.025,39.66,39.65,15888556,39.95
7/13/2021,39.77,39.8,39.53,39.76,12222049,39.65
7/12/2021,39.66,40.25,39.6,39.61,24512950,39.76
7/9/2021,39.53,40.1,39.46,39.25,21578734,39.61
7/8/2021,39,39.32,38.93,39.35,23021184,39.25
7/7/2021,39.22,39.36,38.965,39.29,17665154,39.35
7/6/2021,39.48,39.65,39.04,39.73,18931874,39.29
7/2/2021,39.46,39.83,39.38,39.56,16595888,39.73
7/1/2021,39.17,39.63,39.11,39.16,20035910,39.56
6/30/2021,39.14,39.27,38.82,39.1,21248067,39.16
6/29/2021,39.13,39.285,38.98,39.12,14516570,39.1
6/28/2021,39.01,39.2099,38.9,38.98,19225691,39.12
6/25/2021,39.12,39.405,38.89,39.19,22774347,38.98
6/24/2021,39.14,39.345,39.08,39.05,13436549,39.19
6/23/2021,39.63,39.66,38.975,39.61,22025355,39.05
6/22/2021,39.41,39.69,39.26,39.42,15975947,39.61
6/21/2021,38.88,39.48,38.88,38.81,19488052,39.42
6/18/2021,39.3,39.44,38.7,39.48,37775909,38.81
6/17/2021,39.27,39.59,39.07,39.3,19580121,39.48
6/16/2021,39.62,39.84,39.28,39.59,19177546,39.3
6/15/2021,39.71,39.84,39.39,39.63,20206867,39.59
6/14/2021,40.03,40.07,39.38,40.15,23408340,39.63
6/11/2021,40.66,40.67,39.95,40.68,21386922,40.15
6/10/2021,39.9,40.72,39.89,39.81,42613731,40.68
6/9/2021,39,39.84,38.98,38.85,29823964,39.81
6/8/2021,39.07,39.11,38.475,38.99,18880307,38.85
6/7/2021,39.08,39.6,38.97,39.15,24110727,38.99
6/4/2021,39.05,39.5,39.015,38.97,19375318,39.15
6/3/2021,38.76,39.04,38.63,38.79,17376288,38.97
6/2/2021,38.64,38.93,38.54,38.5,19629039,38.79
6/1/2021,38.94,39,38.48,38.73,23642432,38.5
5/28/2021,38.75,39.02,38.68,38.65,16160964,38.73
5/27/2021,38.97,39.18,38.6,38.92,38471248,38.65
5/26/2021,39.2901,39.3,38.78,39.33,28036454,38.92
5/25/2021,39.82,39.8564,39.24,39.81,25916296,39.33
5/24/2021,40.08,40.14,39.775,39.95,16922321,39.81
5/21/2021,40.21,40.6,39.91,40.12,21144784,39.95
5/20/2021,39.73,40.25,39.72,39.83,18621084,40.12
5/19/2021,39.9,39.9,39.43,40.05,20209530,39.83
5/18/2021,40.18,40.345,39.825,40.11,15805529,40.05
5/17/2021,40.07,40.4,40.01,40.02,18095031,40.11
5/14/2021,40.24,40.32,39.92,40.1,18041053,40.02
5/13/2021,39.5,40.28,39.5,39.69,25423778,40.1
5/12/2021,39.44,39.92,39.305,39.35,26208608,39.69
5/11/2021,39.68,40.07,39.23,39.86,30568572,39.35
5/10/2021,39.83,40.28,39.78,39.58,30831871,39.86
5/7/2021,39.05,39.865,39.05,39.19,33807757,39.58
5/6/2021,38.48,39.23,37.96,39.97,54944943,39.19
5/5/2021,40.18,41.09,38.93,39.95,76626289,39.97
5/4/2021,40,40.17,39.43,39.83,52802169,39.95
5/3/2021,39.04,39.84,38.96,38.65,46638581,39.83
4/30/2021,38.5,38.895,38.49,38.6,28413183,38.65
